genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	source					1	4411532	+	4411532								
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.1	Rv0001	VBIMycTub87468_0001	I6Y2H1;P49993	34	1524	+	1491	dnaA	Chromosomal replication initiator protein DnaA	FIG00000441	PLF_1763_00000527	PGF_03750571			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.2	Rv0002	VBIMycTub87468_0002	I6XU56;Q50790	2052	3260	+	1209	dnaN	DNA polymerase III beta subunit (EC 2.7.7.7)	FIG00066425	PLF_1763_00000832	PGF_00421498	GO:0003887|DNA-directed DNA polymerase activity	2.7.7.7|DNA-directed DNA polymerase	00230|Purine metabolism;00240|Pyrimidine metabolism
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.3	Rv0003	VBIMycTub87468_0003	I6X898;Q59586	3280	4437	+	1158	recF	DNA recombination and repair protein RecF	FIG00000412	PLF_1763_00000635	PGF_00421733			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.4	Rv0004	VBIMycTub87468_0004	I6Y6N1;P71573	4497	4997	+	501		Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	FIG00403940	PLF_1763_00001080	PGF_05207025			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.5	Rv0005	VBIMycTub87468_0005	P0C5C5	5207	7267	+	2061	gyrB	DNA gyrase subunit B (EC 5.99.1.3)	FIG00028203	PLF_1763_00000380	PGF_04662829	GO:0003918|DNA topoisomerase (ATP-hydrolyzing) activity	5.99.1.3|DNA topoisomerase (ATP-hydrolyzing)	
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.6	Rv0006	VBIMycTub87468_0006	I6Y2H5;Q07702	7302	9818	+	2517	gyrA	DNA gyrase subunit A (EC 5.99.1.3)	FIG00000080	PLF_1763_00000324	PGF_03272313	GO:0003918|DNA topoisomerase (ATP-hydrolyzing) activity	5.99.1.3|DNA topoisomerase (ATP-hydrolyzing)	
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.7		VBIMycTub87468_0007		9963	10160	+	198		hypothetical protein	FIG00822767	PLF_1763_00003574	PGF_02412571			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.8	Rv0007	VBIMycTub87468_0008	I6XU61;P71575	10484	10828	+	345		FIG187021: hypothetical protein	FIG00735262	PLF_1763_00000963	PGF_01206384			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	tRNA	fig|83332.12.rna.1		VBIMycTub87468_r001		10887	10963	+	77		tRNA-Ile-GAT						
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.9		VBIMycTub87468_0009		10999	11121	+	123		hypothetical protein	FIG00820624	PLF_1763_00003564	PGF_02412564			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	tRNA	fig|83332.12.rna.2		VBIMycTub87468_r002		11112	11187	+	76		tRNA-Ala-TGC						
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.10		VBIMycTub87468_0010		11555	11692	-	138		hypothetical protein	FIG00820132	PLF_1763_00003771	PGF_02412707			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.11	Rv0008c	VBIMycTub87468_0011	I6WX71;P71577	11874	12311	-	438		FIG024317: hypothetical protein	FIG01310638	PLF_1763_00143359	PGF_00002701			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.12	Rv0009	VBIMycTub87468_0012	I6Y2I0;P65762	12486	13016	+	531	ppiA	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	FIG01955868	PLF_1763_00061260	PGF_02357230		5.2.1.8|Peptidylprolyl isomerase	
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.13		VBIMycTub87468_0013		13024	13176	-	153		hypothetical protein	FIG01327866	PLF_1763_00003682	PGF_02412631			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.14	Rv0010c	VBIMycTub87468_0014	I6XU65;P71580	13133	13447	-	315		FIG020554: membrane protein	FIG01121868	PLF_1763_00003161	PGF_02405702			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.15	Rv0011c	VBIMycTub87468_0015	I6X8A6;P67376	13714	13995	-	282		FIG018426: putative septation inhibitor protein	FIG01124317	PLF_1763_00001030	PGF_03121657			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.16	Rv0012	VBIMycTub87468_0016	L0T243	14134	14877	+	744		FIG215594: Membrane spanning protein	FIG00480581	PLF_1763_00001113	PGF_00003708			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.17	Rv0013	VBIMycTub87468_0017	I6WX77;Q7DAK6	14914	15612	+	699	trpG	Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)	FIG00229612	PLF_1763_00001055	PGF_05386032	GO:0004049|anthranilate synthase activity;GO:0046820|4-amino-4-deoxychorismate synthase activity	4.1.3.27|Anthranilate synthase;2.6.1.85|Aminodeoxychorismate synthase	00400|Phenylalanine, tyrosine and tryptophan biosynthesis;00790|Folate biosynthesis
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.18	Rv0014c	VBIMycTub87468_0018	I6Y2I5;P0A5S4	15590	17470	-	1881	pknB	Serine/threonine-protein kinase PknB (EC 2.7.11.1)	FIG01954987	PLF_1763_00000581	PGF_05218024		2.7.11.1|Non-specific serine/threonine protein kinase	04150|mTOR signaling pathway
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.19	Rv0015c	VBIMycTub87468_0019	I6XU70;P65726	17467	18762	-	1296	pknA	Serine/threonine-protein kinase PknA (EC 2.7.11.1)	FIG00662117	PLF_1763_00010796	PGF_03099722		2.7.11.1|Non-specific serine/threonine protein kinase	04150|mTOR signaling pathway
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.20	Rv0016c	VBIMycTub87468_0020	I6X8B1;P71586	18759	20207	-	1449	pbpA	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	FIG00046929	PLF_1763_00000800	PGF_04108824		2.4.1.129|Peptidoglycan glycosyltransferase	00550|Peptidoglycan biosynthesis
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.21	Rv0017c	VBIMycTub87468_0021	I6Y6P4;P63760	20231	21598	-	1368	rodA	FtsW-like cell division membrane protein CA_C0505	FIG00000025	PLF_1763_00000764	PGF_06377994			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.22	Rv0018c	VBIMycTub87468_0022	I6WX81;P71588	21637	23172	-	1536	ppp	Serine/threonine phosphatase PPP (EC 3.1.3.16)	FIG00741411	PLF_1763_00001413	PGF_03591205		3.1.3.16|Phosphoprotein phosphatase	04660|T cell receptor signaling pathway
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.23	Rv0019c	VBIMycTub87468_0023	I6Y2J0;P71589	23270	23737	-	468		FHA-domain-containing protein	FIG00672167	PLF_1763_00001059	PGF_03778127			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.24	Rv0020c	VBIMycTub87468_0024	I6XU75;P71590	23861	25243	-	1383	TB39.8	annexin VII	FIG00824290	PLF_1763_00000629	PGF_00068620			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	tRNA	fig|83332.12.rna.3		VBIMycTub87468_r003		25644	25729	+	86		tRNA-Leu-CAG						
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.25	Rv0021c	VBIMycTub87468_0025	L7N625;P71591	25913	26881	-	969		Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)	FIG01954831	PLF_1763_00145040	PGF_06501669	GO:0004318|enoyl-[acyl-carrier-protein] reductase (NADH) activity	1.3.1.9|Enoyl-[acyl-carrier-protein] reductase (NADH)	00061|Fatty acid biosynthesis
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.26	Rv0022c	VBIMycTub87468_0026	I6Y6P8;P71592	27023	27442	-	420	whiB5	WhiB family transcriptional regulator	FIG01310014	PLF_1763_00005496	PGF_00066838			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.27	Rv0023	VBIMycTub87468_0027	I6WX86;P67704	27595	28365	+	771		HTH-type transcriptional regulator Rv0023	FIG00447785	PLF_1763_00012428	PGF_00236287			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.28	Rv0024	VBIMycTub87468_0028	L7N550;P71594	28362	29207	+	846		Cell wall-associated hydrolases (invasion-associated proteins)	FIG01316122	PLF_1763_00002186	PGF_03744900			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.29	Rv0025	VBIMycTub87468_0029	I6XU77;P71595	29245	29607	+	363		FIG00821242: hypothetical protein	FIG00821239	PLF_1763_00095544	PGF_02409430			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.30	Rv0026	VBIMycTub87468_0030	I6X8B9;P71596	29722	31068	+	1347		FIG00821131: hypothetical protein	FIG00821130	PLF_1763_00002002	PGF_00296057			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.31	Rv0027	VBIMycTub87468_0031	I6Y6Q2;P64667	31207	31506	+	300		FIG00822329: hypothetical protein	FIG00822322	PLF_1763_00040589	PGF_02412123			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.32	Rv0028	VBIMycTub87468_0032	I6WX90;P64669	31514	31819	+	306		FIG00820004: hypothetical protein	FIG00820004	PLF_1763_00008318	PGF_00265575			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.33		VBIMycTub87468_0033		31824	31967	-	144		hypothetical protein	FIG00820096	PLF_1763_00002297	PGF_02408349			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.34	Rv0029	VBIMycTub87468_0034	L0T5H2;P71599	32057	33154	+	1098		Vegetative cell wall protein gp1 precursor	FIG01349651	PLF_1763_00218293	PGF_04003264			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	pseudogene	fig|83332.12.pg.1		VBIMycTub87468_pg001		33224	33799	+	576								
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.35	Rv0030	VBIMycTub87468_0035	I6XU82;P64671	33224	33553	+	330		FIG00820914: hypothetical protein	FIG00820914	PLF_1763_00054674	PGF_02421268			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.36	Rv0031	VBIMycTub87468_0036	L7N5W5;P71601	33510	33794	+	285		Mobile element protein	FIG01312617	PLF_1763_00246570	PGF_06172466			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.37	Rv0032	VBIMycTub87468_0037	I6Y6Q7;P71602	34295	36610	+	2316	bioF2	Acetyltransferase (GNAT) domain / Serine palmitoyltransferase (EC 2.3.1.50)	FIG01956179	PLF_1763_00143771	PGF_03032884	GO:0004758|serine C-palmitoyltransferase activity	2.3.1.50|Serine C-palmitoyltransferase	00600|Sphingolipid metabolism
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.38	Rv0033	VBIMycTub87468_0038	I6WX95;P71603	36607	36870	+	264	acpA	Acyl carrier protein	FIG00002328	PLF_1763_00003337	PGF_02412211			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.39	Rv0034	VBIMycTub87468_0039	I6Y2K3;P64673	36867	37262	+	396		hypothetical protein	FIG00821633	PLF_1763_00003280	PGF_03162928			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.40	Rv0035	VBIMycTub87468_0040	L7N699;Q7DAJ8	37259	38947	+	1689	fadD34	Long-chain fatty-acid-AMP ligase, Mycobacterial subgroup FadD34 @ FIG022758: Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	FIG00018699	PLF_1763_00013505	PGF_00202472	GO:0004467|long-chain fatty acid-CoA ligase activity	6.2.1.3|Long-chain-fatty-acid--CoA ligase	00071|Fatty acid metabolism
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.41	Rv0036c	VBIMycTub87468_0041	I6X8C7;P64675	39056	39829	-	774		hypothetical protein	FIG00822255	PLF_1763_00001153	PGF_03162928			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.42	Rv0037c	VBIMycTub87468_0042	I6Y6R1;P0A5C1	39877	41178	-	1302		putative membrane protein	FIG01121868	PLF_1763_00345535	PGF_01362369			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.43	Rv0038	VBIMycTub87468_0043	I6WX99;P67757	41304	41912	+	609		UPF0301 protein YqgE	FIG00821672	PLF_1763_00001101	PGF_03729141			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.44	Rv0039c	VBIMycTub87468_0044	I6Y2K8;P71696	42004	42351	-	348		Putative transmembrane protein	FIG01121868	PLF_1763_00002422	PGF_00044769			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.45	Rv0040c	VBIMycTub87468_0045	I6XU92;P0A5Q6	42433	43365	-	933	mtc28	Proline-rich 28 kDa antigen precursor	FIG01257277	PLF_1763_00002139	PGF_00037546			
83332.12	Mycobacterium tuberculosis H37Rv	NC_000962	PATRIC	CDS	fig|83332.12.peg.46	Rv0041	VBIMycTub87468_0046	I6X8C9;P67510	43562	46471	+	2910	leuS	Leucyl-tRNA synthetase (EC 6.1.1.4)	FIG00000114	PLF_1763_00000329	PGF_05135220	GO:0004823|leucine-tRNA ligase activity	6.1.1.4|Leucine--tRNA ligase	00970|Aminoacyl-tRNA biosynthesis
