genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	source					1	1220319	+	1220319								
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.1	BMI_II1	VBIBruMic92249_0001	C7LGK5	197	1348	+	1152	repC	Plasmid replication protein RepC	FIG00130123	PLF_234_00000818	PGF_00105337			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.2		VBIBruMic92249_0002		1401	1514	+	114		hypothetical protein	FIG00450295	PLF_234_00003070	PGF_01030961			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.3		VBIBruMic92249_0003		1581	1781	-	201		hypothetical protein	FIG01345553	PLF_234_00003002	PGF_00079191			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.4	BMI_II4	VBIBruMic92249_0004	C7LGK8	1963	2076	+	114		hypothetical protein	FIG00450626	PLF_234_00002721	PGF_07751487			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.5	BMI_II5	VBIBruMic92249_0005	C7LGK9	2113	3033	+	921		Ribokinase (EC 2.7.1.15)	FIG00028476	PLF_234_00000311	PGF_02382389	GO:0004747|ribokinase activity	2.7.1.15|Ribokinase	00030|Pentose phosphate pathway
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.6	BMI_II6	VBIBruMic92249_0006	C7LGL0	3110	4045	-	936	iunH	Pyrimidine-specific ribonucleoside hydrolase RihB (EC 3.2.2.8)	FIG00000527	PLF_234_00000676	PGF_00045929	GO:0050263|ribosylpyrimidine nucleosidase activity	3.2.2.8|Ribosylpyrimidine nucleosidase	00230|Purine metabolism;00240|Pyrimidine metabolism
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.7	BMI_II7	VBIBruMic92249_0007	C7LGL1	4131	5042	-	912		Nucleoside ABC transporter, permease protein 2	FIG00120276	PLF_234_00001011	PGF_00709627			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.8	BMI_II8	VBIBruMic92249_0008	C7LGL2	5039	6118	-	1080		Nucleoside ABC transporter, permease protein 1	FIG01304461	PLF_234_00000230	PGF_00026382			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.9	BMI_II9	VBIBruMic92249_0009	C7LGL3	6180	7751	-	1572		Nucleoside ABC transporter, ATP-binding protein	FIG00018457	PLF_234_00001010	PGF_01852683			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.10	BMI_II10	VBIBruMic92249_0010	C7LGL4	7754	8860	-	1107		Nucleoside ABC transporter, periplasmic nucleoside-binding protein	FIG00008285	PLF_234_00000152	PGF_00915542			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.11	BMI_II11	VBIBruMic92249_0011	C7LGL5	9157	9711	+	555		FIG048170: Secreted Zn-dependent protease involved in posttranslational modification	FIG00450885	PLF_234_00000972	PGF_00003133			
568815.3	Brucella microti CCM 4915	NC_013118	PATRIC	CDS	fig|568815.3.peg.12	BMI_II12	VBIBruMic92249_0012	C7LGL6	9683	10408	-	726	entD	Phosphopantetheinyl transferase component of [brucebactin] siderophore synthetase (EC 2.7.8.-)	FIG01289021	PLF_234_00002194	PGF_00074047	GO:0008808|cardiolipin synthase activity;GO:0008808|UDP-N-acetylglucosamine:serine-protein N-acetylglucosamine-1-phosphotransferase activity;GO:0008808|GDP-mannose:serine-protein mannose-1-phosphotransferase activity;GO:0008808|archaetidylserine synthase activity	2.7.8.-|Transferases for other substituted phosphate groups	00440|Phosphonate and phosphinate metabolism;00513|High-mannose type N-glycan biosynthesis;00564|Glycerophospholipid metabolism;00600|Sphingolipid metabolism;00770|Pantothenate and CoA biosynthesis
