genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	source					1	63210	+	63210								
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.1	C063_00002	VBIBruSui231154_0001	N7ST99	519	812	-	294		Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)	FIG00004933	PLF_234_00002853	PGF_03142586	GO:0008124|4-alpha-hydroxytetrahydrobiopterin dehydratase activity	4.2.1.96|4a-hydroxytetrahydrobiopterin dehydratase	
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.2		VBIBruSui231154_0002		967	1122	-	156		hypothetical protein	FIG00638284	PLF_234_00003113	PGF_01030994			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.3	C063_00004	VBIBruSui231154_0003	N7SX34	1554	2144	-	591		2'-5' RNA ligase	FIG00004261	PLF_234_00001795	PGF_03683488			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.4	C063_00006	VBIBruSui231154_0004	N7RKU1	2325	3050	-	726		Arylesterase precursor (EC 3.1.1.2)	FIG01219954	PLF_234_00000556	PGF_02911133		3.1.1.2|Arylesterase	00363|Bisphenol A degradation
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.5	C063_00007	VBIBruSui231154_0005	N7STA5	3197	3925	+	729		Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component	FIG00883158	PLF_234_00000907	PGF_00035487			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.6	C063_00008	VBIBruSui231154_0006	N7SNP2	3922	6471	+	2550		ABC transporter, fused permease protein	FIG01024467	PLF_234_00000524	PGF_02866666			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.7	C063_00009	VBIBruSui231154_0007	N7SX38	6707	7444	+	738		Inner membrane protein YbhL	FIG00005935	PLF_234_00001607	PGF_00014124			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.8	C063_00010	VBIBruSui231154_0008	N7RQ23	7559	8098	+	540		Acetyltransferase, GNAT family	FIG00882994	PLF_234_00000064	PGF_01090298			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.9	C063_00011	VBIBruSui231154_0009	N7RKU6	8118	8360	-	243		FIG00450577: hypothetical protein		PLF_234_00002290	PGF_00426140			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.10		VBIBruSui231154_0010		8474	8644	+	171		hypothetical protein	FIG00450158	PLF_234_00002981	PGF_01030903			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.11	C063_00012	VBIBruSui231154_0011	N7STB1	9069	9803	-	735		hypothetical protein that often co-occurs with aconitase	FIG00006467	PLF_234_00002206	PGF_00399758			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.12		VBIBruSui231154_0012		9956	10096	-	141		hypothetical protein	FIG00450442	PLF_234_00007161	PGF_07623576			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.13	C063_00013	VBIBruSui231154_0013	N7SNQ0	10080	12767	-	2688		Aconitate hydratase (EC 4.2.1.3)	FIG00022996	PLF_234_00000526	PGF_01162681	GO:0003994|aconitate hydratase activity	4.2.1.3|Aconitate hydratase	00020|Citrate cycle (TCA cycle);00630|Glyoxylate and dicarboxylate metabolism;00720|Reductive carboxylate cycle (CO2 fixation)
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.14		VBIBruSui231154_0014		12759	12905	+	147		hypothetical protein	FIG01328240	PLF_234_00002618	PGF_07597144			
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.15	C063_00014	VBIBruSui231154_0015	N7SX43	13111	13758	+	648		ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	FIG01304195	PLF_234_00001812	PGF_00002124	GO:0005524|ATP binding;GO:0016887|ATPase activity		
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.16	C063_00015	VBIBruSui231154_0016	N7RQ29	13758	14423	+	666		ABC transporter involved in cytochrome c biogenesis, CcmB subunit	FIG00023985	PLF_234_00001813	PGF_00565351	GO:0015232|heme transporter activity;GO:0015886|heme transport;GO:0016020|membrane;GO:0017004|cytochrome complex assembly		
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.17	C063_00016	VBIBruSui231154_0017	N7RKV2	14478	15266	+	789		Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE	FIG00000815	PLF_234_00000957	PGF_00420482	GO:0006461|protein complex assembly;GO:0008535|respiratory chain complex IV assembly;GO:0016020|membrane		
1160231.3	Brucella suis F8/06-2	AQOA01000001	PATRIC	CDS	fig|1160231.3.peg.18	C063_00017	VBIBruSui231154_0018	N7STB8	15263	15436	+	174		Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE	FIG00029136	PLF_234_00002573	PGF_00420484	GO:0006810|transport;GO:0016021|integral to membrane		
